,A2C Agent 1,A2C Agent 2,SAC Agent 1,SAC Agent 2,Mean Var,djia
2025-02-06 14:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,904390.4966188216,1000000.0
2025-02-06 15:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,904390.4966188216,999583.0330188671
2025-02-06 16:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,904390.4966188216,998667.135660059
2025-02-06 17:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,904390.4966188216,998091.473592004
2025-02-06 18:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,904390.4966188216,996700.79889897
2025-02-06 19:30:00+00:00,1000000.0,1000000.0,1000000.0,1000000.0,904390.4966188216,997468.0286076668
2025-02-06 20:30:00+00:00,1000055.2796875,1000055.2796875,1000215.9362792969,1000215.9362792969,908343.3276051391,998770.8978322775
2025-02-07 14:30:00+00:00,1000147.6087890625,1000147.6087890625,1000576.5968322754,1000576.5968322754,911343.2785986514,996452.3800513649
2025-02-07 15:30:00+00:00,999973.6413027344,999973.6413027344,999897.0363388062,999897.0363388062,908449.2031598953,992326.1334011827
2025-02-07 16:30:00+00:00,999719.089578125,999719.089578125,998902.6936645508,998902.6936645508,905166.9532558887,991865.8304540056
2025-02-07 17:30:00+00:00,1000355.4782324219,1000355.4782324219,1001388.586845398,1001388.586845398,912366.814099005,992398.5053364275
2025-02-07 18:30:00+00:00,999474.9335917969,999474.9335917969,997948.9593429565,997948.9593429565,904425.8243725958,989301.9456540827
2025-02-07 19:30:00+00:00,1000191.9059980469,1000191.9059980469,1000749.6328048706,1000749.6328048706,910203.312300036,988722.0110259951
2025-02-07 20:30:00+00:00,1001108.7755898437,1001108.7755898437,1004331.1546478271,1004331.1546478271,916637.2717495909,988933.02317454
2025-02-10 14:30:00+00:00,1006333.7570253906,1006333.7570253906,1024741.2383804321,1024741.2383804321,948754.1850732701,992125.6718600651
2025-02-10 15:30:00+00:00,1005119.7556699219,1005119.7556699219,1019999.0455856323,1019999.0455856323,942154.3575114829,990424.321016095
2025-02-10 16:30:00+00:00,1005882.7040722657,1005882.7040722657,1022979.3127822876,1022979.3127822876,946064.8598172112,989883.7113793271
2025-02-10 17:30:00+00:00,1006327.876484375,1006327.876484375,1024718.2675170898,1024718.2675170898,948189.4795457153,991649.5865992986
2025-02-10 18:30:00+00:00,1006618.5181816407,1006618.5181816407,1025853.5866470337,1025853.5866470337,949495.313956563,992814.077195917
2025-02-10 19:30:00+00:00,1006609.0111992188,1006609.0111992188,1025816.4499969482,1025816.4499969482,949525.6872082835,991882.833499033
2025-02-10 20:30:00+00:00,1004653.9216347657,1004653.9216347657,1018179.3813858032,1018179.3813858032,942401.3286682029,992718.7729486611
2025-02-11 14:30:00+00:00,1005527.7386054688,1005527.7386054688,1021479.9668718567,1021479.9668718567,945471.9351692635,991192.8586513324
2025-02-11 15:30:00+00:00,1005564.7479414062,1005564.7479414062,1021669.7557817688,1021669.7557817688,945647.6045790369,993091.5320127228
2025-02-11 16:30:00+00:00,1002644.8185449218,1002644.8185449218,1012061.8522173157,1012061.8522173157,936754.4888057873,993523.4965515209
2025-02-11 17:30:00+00:00,1002925.2633046875,1002925.2633046875,1012994.5058733216,1012994.5058733216,937617.7569353604,993041.569218873
2025-02-11 18:30:00+00:00,1003427.1670195312,1003427.1670195312,1014540.2789446106,1014540.2789446106,939048.5309632145,993892.2446408583
2025-02-11 19:30:00+00:00,1004529.4139296875,1004529.4139296875,1017715.7231889954,1017715.7231889954,941987.7354532857,995787.1686128323
2025-02-11 20:30:00+00:00,1002875.0938691406,1002875.0938691406,1013281.9237810364,1013281.9237810364,937883.7921543305,995463.0644160797
2025-02-12 14:30:00+00:00,998295.5064316406,998295.5064316406,1001463.2295976868,1001463.2295976868,926944.3593263385,987565.5423788255
2025-02-12 15:30:00+00:00,996127.3693203125,996127.3693203125,996122.725599884,996122.725599884,922001.166462114,985957.6646849544
2025-02-12 16:30:00+00:00,999166.9488007813,999166.9488007813,1003406.2677446594,1003406.2677446594,928742.8435718297,991850.2225306216
2025-02-12 17:30:00+00:00,997153.3376699219,997153.3376699219,998830.7375627747,998830.7375627747,924507.713675018,990888.8093282019
2025-02-12 18:30:00+00:00,996151.2310722657,996151.2310722657,996656.4850908509,996656.4850908509,922495.2164821204,990227.1728888801
2025-02-12 19:30:00+00:00,999127.494953125,999127.494953125,1003024.9444719544,1003024.9444719544,928389.8891537872,989404.835875274
2025-02-12 20:30:00+00:00,997458.4527226563,997458.4527226563,999630.6204363098,999630.6204363098,925248.0886123463,990247.7509331184
2025-02-13 14:30:00+00:00,1010766.8893398438,1010766.8893398438,1026093.6642900696,1026093.6642900696,949742.3928198494,992570.10529855
2025-02-13 15:30:00+00:00,1015372.3602988282,1015372.3602988282,1034977.9030901184,1034977.9030901184,957965.6814567528,992924.1174155303
2025-02-13 16:30:00+00:00,1012467.3012792969,1012467.3012792969,1029601.5591264954,1029601.5591264954,952989.3149700818,993613.481897512
2025-02-13 17:30:00+00:00,1010401.377421875,1010401.377421875,1025902.9444719544,1025902.9444719544,949565.8617575449,993131.7289550697
2025-02-13 18:30:00+00:00,1012974.9316601563,1012974.9316601563,1030442.7510515442,1030442.7510515442,953767.9257384766,997909.3230224543
2025-02-13 19:30:00+00:00,1014037.3042304688,1014037.3042304688,1032280.5965715637,1032280.5965715637,955469.0432479561,999102.675198068
2025-02-13 20:30:00+00:00,1013507.1186093751,1013507.1186093751,1031431.8410173645,1031431.8410173645,954683.4315527463,998056.8571362302
2025-02-14 14:30:00+00:00,1026514.3124687502,1026514.3124687502,1052404.1555620423,1052404.1555620423,974095.4937188223,996174.4020639429
2025-02-14 15:30:00+00:00,1019589.2578300782,1019589.2578300782,1041574.4349809876,1041574.4349809876,964071.4589985335,995935.1387021218
2025-02-14 16:30:00+00:00,1020370.970902344,1020370.970902344,1042795.321089386,1042795.321089386,965201.5162930415,995257.4583639024
2025-02-14 17:30:00+00:00,1023412.686919922,1023412.686919922,1047351.8840166321,1047351.8840166321,969419.0900195326,995703.6357044415
